string1,string2,fuzz_ratio,fuzz_partial_ratio,fuzz_token_sort_ratio,fuzz_token_set_ratio,levenshtein_distance_fuzz,Partial ratio,Token sort ratio,Token set ratio,levenshtein_distance_jellyfish,damerau_levenshtein_distance,jaro_distance,jaro-winkler_distance,jaro_winkler_similarity
syed amjad ali,syed amjad aaali,93,86,93,93,93,86,93,93,2,2,0.958333333,0.975,0.975
syed amjad ali,syed amjad aaali,93,86,93,93,93,86,93,93,2,2,0.958333333,0.975,0.975
sunderraji,sunderraji,100,100,100,100,100,100,100,100,0,0,1.0,1.0,1.0
shaik rabbani,shaik rabbani,100,100,100,100,100,100,100,100,0,0,1.0,1.0,1.0
parsa ram,parsa ram,100,100,100,100,100,100,100,100,0,0,1.0,1.0,1.0
parmar twikalben jayendrasinh,twikalben jayendrasinh,86,100,86,100,86,100,86,100,7,7,0.7831765935214211,0.7831765935214211,0.7831765935214211
manjulata samal,manjulata samal,100,100,100,100,100,100,100,100,0,0,1.0,1.0,1.0
hareesh,rajesh gurdas wadha,31,57,38,38,31,57,38,38,15,15,0.5258145363408522,0.5258145363408522,0.5258145363408522
madhusudanan r,rangarajan madhusudanan,65,92,76,92,65,92,76,92,13,13,0.5299056820795952,0.5299056820795952,0.5299056820795952
yamini nama,namma yamini,52,71,96,96,52,71,96,96,8,8,0.7079124579124579,0.7079124579124579,0.7079124579124579
aditya dubey,dubeyadityavijaypark,44,58,44,44,44,58,44,44,14,14,0.701010101010101,0.701010101010101,0.701010101010101
c raj kuamar das,c raj kumar das,97,93,97,97,97,93,97,97,1,1,0.9125,0.9475,0.9475
rangarajan madhusudanan,madhusudanan r,65,0.5299056820795952,0.6780538302277433,65,92,76,92,65,92,76,92,13,13,0.5299056820795952,0.5299056820795952,0.5299056820795952
yamini nama,nama yaminij,52,0.8510101010101009,0.9722222222222222,52,67,96,96,52,67,96,96,9,9,0.8510101010101009,0.8510101010101009,0.8510101010101009
yamini nama,nama yaminii,52,0.8510101010101009,0.9722222222222222,52,67,96,96,52,67,96,96,9,9,0.8510101010101009,0.8510101010101009,0.8510101010101009
yamini nama,nama yamini,55,0.6515151515151515,0.8181818181818182,55,71,100,100,55,71,100,100,8,8,0.6515151515151515,0.6515151515151515,0.6515151515151515
yamini nama,nama yamini,55,0.6515151515151515,0.8181818181818182,55,71,100,100,55,71,100,100,8,8,0.6515151515151515,0.6515151515151515,0.6515151515151515
madhusudanan r,rangarajan madhusudanan,65,0.5299056820795952,0.6780538302277433,65,92,76,92,65,92,76,92,13,13,0.5299056820795952,0.5299056820795952,0.5299056820795952
madhusudanan r,rangarajan madhusudanan,65,0.5299056820795952,0.6780538302277433,65,92,76,92,65,92,76,92,13,13,0.5299056820795952,0.5299056820795952,0.5299056820795952
madhusudanan r,rangarajan madhusudanan,65,0.5299056820795952,0.6780538302277433,65,92,76,92,65,92,76,92,13,13,0.5299056820795952,0.5299056820795952,0.5299056820795952
